ResultID,Round,TeamID,Score_diff,Win/Lose,weighted_points,All_avg_Rank,Team_name
63,4,103,26,1,104,4,Kansas
64,4,126,20,1,80,26,North Carolina
37,2,124,28,1,56,36,Providence
58,3,153,14,1,42,59,Miami FL
9,1,104,36,1,36,6,Baylor
46,2,153,18,1,36,59,Miami FL
54,3,108,12,1,36,6,Houston
62,4,111,9,1,36,11,Duke
33,1,113,35,1,35,11,Texas Tech
10,1,126,32,1,32,26,North Carolina
14,1,105,32,1,32,7,Tennessee
43,2,110,16,1,32,10,UCLA
49,2,108,15,1,30,6,Houston
20,1,118,29,1,29,18,St Mary's CA
12,1,103,27,1,27,4,Kansas
34,1,141,27,1,27,44,TCU
53,3,109,8,1,24,9,Villanova
61,4,109,6,1,24,9,Villanova
25,1,112,22,1,22,12,Purdue
18,1,101,21,1,21,1,Gonzaga
60,3,126,7,1,21,26,North Carolina
30,1,109,20,1,20,9,Villanova
42,2,227,10,1,20,131,St Peter's
48,2,112,10,1,20,12,Purdue
50,2,109,10,1,20,9,Villanova
21,1,107,19,1,19,10,Auburn
45,2,111,9,1,18,11,Duke
55,3,116,6,1,18,19,Arkansas
23,1,111,17,1,17,11,Duke
36,1,102,17,1,17,2,Arizona
41,2,137,8,1,16,30,Michigan
56,3,111,5,1,15,11,Duke
57,3,103,5,1,15,4,Kansas
32,1,108,14,1,14,6,Houston
35,1,152,14,1,14,50,Notre Dame
39,2,126,7,1,14,26,North Carolina
40,2,103,7,1,14,4,Kansas
29,1,131,13,1,13,29,Ohio St
13,1,137,12,1,12,30,Michigan
51,2,113,6,1,12,11,Texas Tech
17,1,129,11,1,11,30,Memphis
38,2,116,5,1,10,19,Arkansas
47,2,149,5,1,10,53,Iowa St
52,2,102,5,1,10,2,Arizona
5,1,124,9,1,9,36,Providence
59,3,227,3,1,9,131,St Peter's
26,1,120,8,1,8,18,Texas
44,2,101,4,1,8,1,Gonzaga
7,1,170,7,1,7,84,New Mexico St
28,1,121,7,1,7,24,Wisconsin
15,1,227,6,1,6,131,St Peter's
3,0.5,272,11,1,6,171,Wright St
16,1,133,5,1,5,34,Murray St
27,1,149,5,1,5,53,Iowa St
1,0.5,302,9,1,5,198,TX Southern
6,1,174,4,1,4,78,Richmond
8,1,116,4,1,4,19,Arkansas
19,1,110,4,1,4,10,UCLA
2,0.5,140,8,1,4,34,Indiana
11,1,142,3,1,3,49,Creighton
22,1,153,2,1,2,59,Miami FL
24,1,130,1,1,1,34,Michigan St
31,1,115,1,1,1,16,Illinois
4,0.5,152,2,1,1,50,Notre Dame
1,0.5,323,-9,0,-9,232,Stony Brook
2,0.5,156,-8,0,-8,66,Wyoming
3,0.5,276,-11,0,-11,182,Bryant
4,0.5,168,-2,0,-2,66,Rutgers
5,1,159,-9,0,-9,65,S Dakota St
6,1,114,-4,0,-4,12,Iowa
7,1,117,-7,0,-7,18,Connecticut
8,1,164,-4,0,-4,57,Vermont
9,1,265,-36,0,-36,174,Norfolk St
10,1,146,-32,0,-32,48,Marquette
11,1,123,-3,0,-3,27,San Diego St
12,1,302,-27,0,-27,198,TX Southern
13,1,128,-12,0,-12,35,Colorado St
14,1,232,-32,0,-32,145,Longwood
15,1,106,-6,0,-6,5,Kentucky
16,1,125,-5,0,-5,26,San Francisco
17,1,127,-11,0,-11,32,Boise St
18,1,243,-21,0,-21,148,Georgia St
19,1,214,-4,0,-4,124,Akron
20,1,140,-29,0,-29,34,Indiana
21,1,240,-19,0,-19,147,Jacksonville St
22,1,132,-2,0,-2,36,USC
23,1,250,-17,0,-17,153,CS Fullerton
24,1,139,-1,0,-1,41,Davidson
25,1,234,-22,0,-22,142,Yale
26,1,134,-8,0,-8,28,Virginia Tech
27,1,119,-5,0,-5,20,LSU
28,1,231,-7,0,-7,126,Colgate
29,1,135,-13,0,-13,28,Loyola-Chicago
30,1,229,-20,0,-20,140,Delaware
31,1,173,-1,0,-1,79,Chattanooga
32,1,147,-14,0,-14,49,UAB
33,1,213,-35,0,-35,124,Montana St
34,1,136,-27,0,-27,38,Seton Hall
35,1,122,-14,0,-14,27,Alabama
36,1,272,-17,0,-17,171,Wright St
37,2,174,-28,0,-28,78,Richmond
38,2,170,-5,0,-5,84,New Mexico St
39,2,104,-7,0,-7,6,Baylor
40,2,142,-7,0,-7,49,Creighton
41,2,105,-8,0,-8,7,Tennessee
42,2,133,-10,0,-10,34,Murray St
43,2,118,-16,0,-16,18,St Mary's CA
44,2,129,-4,0,-4,30,Memphis
45,2,130,-9,0,-9,34,Michigan St
46,2,107,-18,0,-18,10,Auburn
47,2,121,-5,0,-5,24,Wisconsin
48,2,120,-10,0,-10,18,Texas
49,2,115,-15,0,-15,16,Illinois
50,2,131,-10,0,-10,29,Ohio St
51,2,152,-6,0,-6,50,Notre Dame
52,2,141,-5,0,-5,44,TCU
53,3,137,-8,0,-8,30,Michigan
54,3,102,-12,0,-12,2,Arizona
55,3,101,-6,0,-6,1,Gonzaga
56,3,113,-5,0,-5,11,Texas Tech
57,3,124,-5,0,-5,36,Providence
58,3,149,-14,0,-14,53,Iowa St
59,3,112,-3,0,-3,12,Purdue
60,3,110,-7,0,-7,10,UCLA
61,4,108,-6,0,-6,6,Houston
62,4,116,-9,0,-9,19,Arkansas
63,4,153,-26,0,-26,59,Miami FL
64,4,227,-20,0,-20,131,St Peter's
