ResultID,Date,Round,Winner,WinnerScore,Loser,LoserScore
1,2022-03-15,0,TX Southern,76,TAM C. Christi,67
2,2022-03-15,0,Indiana,66,Wyoming,58
3,2022-03-16,0,Wright St,93,Bryant,82
4,2022-03-16,0,Notre Dame,89,Rutgers,87
5,2022-03-17,1,Providence,66,S Dakota St,57
6,2022-03-17,1,Richmond,67,Iowa,63
7,2022-03-17,1,New Mexico St,70,Connecticut,63
8,2022-03-17,1,Arkansas,75,Vermont,71
9,2022-03-17,1,Baylor,85,Norfolk St,49
10,2022-03-17,1,North Carolina,95,Marquette,63
11,2022-03-17,1,Creighton,72,San Diego St,69
12,2022-03-17,1,Kansas,83,TX Southern,56
13,2022-03-17,1,Michigan,75,Colorado St,63
14,2022-03-17,1,Tennessee,88,Longwood,56
15,2022-03-17,1,St Peter's,85,Kentucky,79
16,2022-03-17,1,Murray St,92,San Francisco,87
17,2022-03-17,1,Memphis,64,Boise St,53
18,2022-03-17,1,Gonzaga,93,Georgia St,72
19,2022-03-17,1,UCLA,57,Akron,53
20,2022-03-17,1,St Mary's CA,82,Indiana,53
21,2022-03-18,1,Auburn,80,Jacksonville St,61
22,2022-03-18,1,Miami FL,68,USC,66
23,2022-03-18,1,Duke,78,CS Fullerton,61
24,2022-03-18,1,Michigan St,74,Davidson,73
25,2022-03-18,1,Purdue,78,Yale,56
26,2022-03-18,1,Texas,81,Virginia Tech,73
27,2022-03-18,1,Iowa St,59,LSU,54
28,2022-03-18,1,Wisconsin,67,Colgate,60
29,2022-03-18,1,Ohio St,54,Loyola-Chicago,41
30,2022-03-18,1,Villanova,80,Delaware,60
31,2022-03-18,1,Illinois,54,Chattanooga,53
32,2022-03-18,1,Houston,82,UAB,68
33,2022-03-18,1,Texas Tech,97,Montana St,62
34,2022-03-18,1,TCU,69,Seton Hall,42
35,2022-03-18,1,Notre Dame,78,Alabama,64
36,2022-03-18,1,Arizona,87,Wright St,70
37,2022-03-19,2,Providence,79,Richmond,51
38,2022-03-19,2,Arkansas,53,New Mexico St,48
39,2022-03-19,2,North Carolina,93,Baylor,86
40,2022-03-19,2,Kansas,79,Creighton,72
41,2022-03-19,2,Michigan,76,Tennessee,68
42,2022-03-19,2,St Peter's,70,Murray St,60
43,2022-03-19,2,UCLA,72,St Mary's CA,56
44,2022-03-19,2,Gonzaga,82,Memphis,78
45,2022-03-20,2,Duke,85,Michigan St,76
46,2022-03-20,2,Miami FL,79,Auburn,61
47,2022-03-20,2,Iowa St,54,Wisconsin,49
48,2022-03-20,2,Purdue,81,Texas,71
49,2022-03-20,2,Houston,68,Illinois,53
50,2022-03-20,2,Villanova,71,Ohio St,61
51,2022-03-20,2,Texas Tech,59,Notre Dame,53
52,2022-03-20,2,Arizona,85,TCU,80
53,2022-03-24,3,Villanova,63,Michigan,55
54,2022-03-24,3,Houston,72,Arizona,60
55,2022-03-24,3,Arkansas,74,Gonzaga,68
56,2022-03-24,3,Duke,78,Texas Tech,73
57,2022-03-25,3,Kansas,66,Providence,61
58,2022-03-25,3,Miami FL,70,Iowa St,56
59,2022-03-25,3,St Peter's,67,Purdue,64
60,2022-03-25,3,North Carolina,73,UCLA,66
61,2022-03-26,4,Villanova,50,Houston,44
62,2022-03-26,4,Duke,78,Arkansas,69
63,2022-03-27,4,Kansas,76,Miami FL,50
64,2022-03-27,4,North Carolina,69,St Peter's,49
